Disciplina;Turma;Docente;Horario;Local;Situacao;Vagas
GCETENS113 - OFICINA DE LEITURA E PRODUÇÃO DE TEXTOS ACADÊMICOS;Turma 02;RAQUEL SOUZA LIMA (68h);5T123 7T3;LAB 09;ABERTA;20/60 alunos
GCETENS136.P - OSCILACOES, FLUIDOS E TERMODINAMICA- PRATICA;Turma 01;ROSIVALDO XAVIER DA SILVA (34h);2M23;LAB 04;ABERTA;8/15 alunos
GCETENS136.P - OSCILACOES, FLUIDOS E TERMODINAMICA- PRATICA;Turma 02;ROSIVALDO XAVIER DA SILVA (34h);2M45;LAB 04;ABERTA;12/15 alunos
GCETENS136.P - OSCILACOES, FLUIDOS E TERMODINAMICA- PRATICA;Turma 03;JOAO PAULO CAVALCANTE OLIVEIRA (34h);2T12;LAB 04;ABERTA;5/15 alunos
GCETENS136.P - OSCILACOES, FLUIDOS E TERMODINAMICA- PRATICA;Turma 04;JOAO PAULO CAVALCANTE OLIVEIRA (34h);2T34;LAB 04;ABERTA;2/15 alunos
GCETENS136.P - OSCILACOES, FLUIDOS E TERMODINAMICA- PRATICA;Turma 05;JOAO PAULO CAVALCANTE OLIVEIRA (34h);2T5  2N1;LAB 04;ABERTA;5/15 alunos
GCETENS136.T - OSCILACOES, FLUIDOS E TERMODINAMICA- TEORICA;Turma 01;ANDREIA DOS SANTOS SIMOES (68h);35M23;SALA 202;ABERTA;23/45 alunos
GCETENS136.T - OSCILACOES, FLUIDOS E TERMODINAMICA- TEORICA;Turma 02;ANDREIA DOS SANTOS SIMOES (68h);35T23;SALA 211 / SALA 204;ABERTA;9/30 alunos
GCETENS220 - PESQUISA OPERACIONAL;Turma 01;KALIL FIGUEIREDO ALMEIDA (68h);3T23 5T12;"Lab de Inform. 1(terças); Lab 105 LIMM(quintas)";ABERTA;5/30 alunos
GCETENS358 - PLANEJAMENTO INTEGRADO DE RECURSOS;Turma 01;ALANA ALMEIDA DA COSTA (15h) e ALGEIR PRAZERES SAMPAIO (36h);4T45  4N1;SALA 01;ABERTA;20/25 alunos
GCETENS128 - PROBABILIDADE E ESTATISTICA;Turma 01;KATYA SILENE PORTO RODRIGUES (51h);2T234;SALA 203;ABERTA;34/45 alunos
GCETENS128 - PROBABILIDADE E ESTATISTICA;Turma 02;KATYA SILENE PORTO RODRIGUES (51h);2M345;SALA 203;ABERTA;30/45 alunos
GCETENS195 - PROCESSAMENTO DE MATERIAIS CERAMICOS;Turma 01;ROGER HONORATO PIVA (68h);24M23;LAB 203;ABERTA;1/15 alunos
GCETENS388 - PROCESSAMENTO DOS MATERIAIS METÁLICOS;Turma 01;FABIO ANDRE LORA (68h);24T54;LAB 203;ABERTA;2/15 alunos
GCETENS163 - PROGRAMACAO DE COMPUTADORES II;Turma 01;IURI SANTOS SOUZA (68h);24M45;LAB INFORMÁTICA 2;ABERTA;4/30 alunos
GCETENS121.P - PROGRAMACAO DE COMPUTADORES I- PRATICA;Turma 01;LEANDRO BRITO SANTOS (34h);5T23;LAB INFORMÁTICA 2;ABERTA;6/15 alunos
GCETENS121.P - PROGRAMACAO DE COMPUTADORES I- PRATICA;Turma 02;DANTE BITENCOURT NASCIMENTO FILHO (34h);5T23;LAB INFORMÁTICA 1;ABERTA;4/15 alunos
GCETENS121.P - PROGRAMACAO DE COMPUTADORES I- PRATICA;Turma 03;LEANDRO BRITO SANTOS (34h);5M23;LAB INFORMÁTICA 2;ABERTA;7/15 alunos
GCETENS121.P - PROGRAMACAO DE COMPUTADORES I- PRATICA;Turma 04;DANTE BITENCOURT NASCIMENTO FILHO (34h);5M23;LAB INFORMÁTICA 1;ABERTA;7/15 alunos
GCETENS121.P - PROGRAMACAO DE COMPUTADORES I- PRATICA;Turma 05;LEANDRO BRITO SANTOS (34h);5M45;LAB INFORMÁTICA 2;ABERTA;6/15 alunos
GCETENS121.P - PROGRAMACAO DE COMPUTADORES I- PRATICA;Turma 06;DANTE BITENCOURT NASCIMENTO FILHO (34h);5M45;LAB INFORMÁTICA 1;ABERTA;0/15 alunos
GCETENS121.P - PROGRAMACAO DE COMPUTADORES I- PRATICA;Turma 07;LEANDRO BRITO SANTOS (34h);5T54;LAB INFORMÁTICA 2;ABERTA;6/15 alunos
GCETENS121.P - PROGRAMACAO DE COMPUTADORES I- PRATICA;Turma 08;DANTE BITENCOURT NASCIMENTO FILHO (34h);5T45;LAB INFORMÁTICA 1;ABERTA;5/15 alunos
GCETENS121.P - PROGRAMACAO DE COMPUTADORES I- PRATICA;Turma 09;DANTE BITENCOURT NASCIMENTO FILHO (34h);4T23;LAB INFORMÁTICA 2;ABERTA;6/15 alunos
GCETENS121.P - PROGRAMACAO DE COMPUTADORES I- PRATICA;Turma 10;DANTE BITENCOURT NASCIMENTO FILHO (34h);4T54;LAB INFORMÁTICA 2;ABERTA;5/15 alunos
GCETENS121.T - PROGRAMACAO DE COMPUTADORES I- TEORICA;Turma 01;ALEX FERREIRA DOS SANTOS (34h);3M23;LAB INFORMÁTICA 1;ABERTA;24/60 alunos
GCETENS121.T - PROGRAMACAO DE COMPUTADORES I- TEORICA;Turma 02;ALEX FERREIRA DOS SANTOS (34h);3T54;LAB INFORMÁTICA 1;ABERTA;17/60 alunos
GCETENS121.T - PROGRAMACAO DE COMPUTADORES I- TEORICA;Turma 03;ALEX FERREIRA DOS SANTOS (34h);3T23;SALA 204;ABERTA;11/30 alunos
GCETENS317 - PROGRAMAÇÃO E CONTROLE DA PRODUÇÃO;Turma 01;JOSE FLAVIO RIQUE JUNIOR (68h);2T54 6T23;SALA 01 / SALA DE REUNIÕES;ABERTA;4/30 alunos
GCETENS117 - PROJETO INTERDISCIPLINAR I;Turma 01;EDNA LOBO MACHADO (34h);2M45;SALA 202;ABERTA;19/20 alunos
GCETENS117 - PROJETO INTERDISCIPLINAR I;Turma 02;CLAUDINEIA DE SOUZA SOUZA (34h);2M45;SALA 02;ABERTA;22/20 alunos
GCETENS117 - PROJETO INTERDISCIPLINAR I;Turma 04;CLAUDINEIA DE SOUZA SOUZA (34h);2T45;SALA 206;ABERTA;15/20 alunos
GCETENS124 - PROJETO INTERDISCIPLINAR II;Turma 01;A DEFINIR;4T54;LAB 09;A DEFINIR DOCENTE;11/30 alunos
GCETENS124 - PROJETO INTERDISCIPLINAR II;Turma 02;SUSANA COUTO PIMENTEL (34h);4T23;SALA DE REUNIÕES;ABERTA;8/30 alunos
GCETENS124 - PROJETO INTERDISCIPLINAR II;Turma 03;DANTE BITENCOURT NASCIMENTO FILHO (34h);4M45;SALA 02;ABERTA;12/30 alunos
GCETENS124 - PROJETO INTERDISCIPLINAR II;Turma 04;DANTE BITENCOURT NASCIMENTO FILHO (34h);4M23;SALA 02;ABERTA;4/30 alunos
GCETENS133 - PROJETO INTERDISCIPLINAR III;Turma 01;EDNA LOBO MACHADO (34h);6M23;LAB 08;ABERTA;15/30 alunos
